,description
7765,"From the creator of Survivor, 66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race."
7766,Friends battle former U.S. presidents when they come back from the dead as zombies on the Fourth of July.
7767,"Tori, Britt, and Erica are sorority sisters who spend a week together at a river house. When near-catastrophe strikes the three are forced against one another as sisters turn to enemies and their humanity and sanity spirals."
7768,"Married couple Bob and Susan Howard decide to see a marriage counselor named Judy Small, who appears trustworthy but harbors dark and conflicted impulses."
7769,"It's Halloween weekend and a group of bullies are planning their annual hazing on local outcast, Jacob Atkins. When they take things too far, he's resurrected to seek revenge against those that wronged him."
7770,A late night radio host is trapped inside the station by a violent storm after being bitten by a rabid bat.
7771,A pregnant woman returns to her recently-deceased grandparents’ old family home to spend time with her estranged mother. What begins as a tenuous reunion slowly turns terrifying.
7772,Three women’s lives intersect at a lakeside resort and are forever changed by the love of a special needs boy.
7773,"Four unapologetically flawed women live, love, blunder and discover what really makes them tick through friendship and tequila in millennial Mumbai."
7774,"In a small town, a young, tight-knit group of friends fall in and out of love over the course of one intoxicating, music-filled summer night."
7775,"Billy Hill and Jack 'Spot' Comer were among the most notorious criminals in London up until the 1950s. Dramatising the violent reign of two of London's most notorious gangsters, Billy Hill (Leo Gregory) and Jack 'Spot' Comer (Terry Stone), ONCE UPON A TIME IN LONDON charts the legendary rise and fall of a nationwide criminal empire that lasted until the mid-fifties and which paved the way for the notorious Kray Twins and The Richardsons. This is the story of their rise and fall."
7776,"During the 13th century, a small village fights for freedom in the frontier landscape of the Carpathian Mountains against Mongolian invaders."
7777,"In a collection of intimate interviews with some of America's most provocative black conservative thinkers, Uncle Tom takes a unique look at being black in America. Featuring media personalities, ministers, civil rights activists, veterans, and a self-employed plumber, the film explores their personal journeys of navigating the world as one of America's most misunderstood political and cultural groups: The American Black Conservative. In this eye-opening film from Director Justin Malone and Executive Producer Larry Elder, Uncle Tom examines self-empowerment, individualism and rejecting the victim narrative. Uncle Tom shows us a different perspective of American History from this often ignored and ridiculed group."
7778,"Texas. The home of barbecue, The Alamo, and Steve Treviño. In his latest special, Til Death, America's favorite husband gives us a bitingly honest take on the day-to-day joy of marriage, kids, and living life with your best friend."
7779,"Paranormal witnesses recount terrifying tales of violent hauntings that have plagued their nightmares since childhood. Now adults, they go back in time to the horrific encounters with compelling and convincing first-person testimonies."
7780,"The stoic chronicles of Castor, orphaned as a child, forced to survive in the wild and his colorful journey through the criminal underworld of London."
7781,"....is a narrative that takes place over the life span of a married couple, their adorable love story starting from how they meet as youths, become friends, their courtship, their marriage and the difficulties they encounter.. they can't imagine their lives without each other until the hiccups and road bumps life throws at them. they struggle to get through the rough patch as they hope their marriage survives the pressure."
